sa2_maincode_2016,sa2_code_2021,ratio
205031093,205031093,1.0
205041094,205041094,1.0
205041095,205041095,1.0
205041096,205041096,1.0
205041097,205041493,0.4238406
205041097,205041494,0.5761594
205041098,205041098,1.0
205051099,205051099,1.0
205051100,205051100,1.0
205051101,205051101,1.0
205051102,205051102,1.0
205051103,205051103,1.0
205051104,205051104,1.0
206011105,206011495,0.4937474
206011105,206011496,0.5062526
206011106,206011106,1.0
206011107,206011107,1.0
206011108,206011497,0.4777148
206011108,206011498,0.5222852
206011109,206011109,1.0
206021110,206021110,1.0
206021111,206021499,0.6041131
206021111,206021500,0.3958869
206021112,206021112,1.0
206031113,206031113,1.0
206031114,206031501,0.5768626
206031114,206031502,0.4231374
206031115,206031115,1.0
206031116,206031116,1.0
206041117,206041117,1.0
206041118,206041118,1.0
206041119,206041119,1.0
206041120,206041120,1.0
206041121,206041121,1.0
206041122,206041503,0.2923955
206041122,206041504,0.3675187
206041122,206041505,0.3400858
206041123,206041506,0.7577579
206041123,206041510,0.2422421
206041124,206041124,1.0
206041125,206041125,1.0
206041126,206041507,0.0001677
206041126,206041508,0.3497044
206041126,206041509,0.6501277
206041126,206051511,2e-07
206041127,206041127,1.0
206051128,206051128,1.0
206051129,206051129,1.0
206051130,206051130,1.0
206051131,206051511,1.0
206051132,206051511,0.00716
206051132,206051512,0.99284
206051133,206051513,0.4630655
206051133,206051514,0.5369345
206051134,206051134,1.0
206061135,206061135,1.0
206061136,206061136,1.0
206061137,206061515,0.4993093
206061137,206061516,0.5006907
206061138,206061138,1.0
206071139,206071139,1.0
206071140,206071140,1.0
206071141,206071141,1.0
206071142,206071142,1.0
206071143,206071143,1.0
206071144,206071517,0.5654703
206071144,206071518,0.4345297
206071145,206071145,1.0
207011146,207011146,1.0
207011147,207011147,1.0
207011148,207011148,1.0
207011149,207011149,1.0
207011150,207011150,1.0
207011151,207011519,0.4664317
207011151,207011520,0.5335683
207011152,207011152,1.0
207011153,207011521,0.4721433
207011153,207011522,0.5278567
207011154,207011154,1.0
207011155,207011155,1.0
207021156,207021156,1.0
207021157,207021157,1.0
207021159,207021159,1.0
207021160,207021160,1.0
207021424,207021424,1.0
207021425,207021425,1.0
207031161,207031161,1.0
207031162,207031162,1.0
207031163,207031163,1.0
207031164,207031164,1.0
207031165,207031165,1.0
207031166,207031166,1.0
207031167,207031167,1.0
208011168,208011168,1.0
208011169,208011169,1.0
208011170,208011170,1.0
208011171,208011171,1.0
208011172,208011172,1.0
208011173,208011173,1.0
208021174,208021174,1.0
208021176,208021176,1.0
208021177,208021177,1.0
208021178,208021178,1.0
208021179,208021179,1.0
208021180,208021180,1.0
208021181,208021181,1.0
208021182,208021182,1.0
208021426,208021426,1.0
208021427,208021427,1.0
208031183,208031183,1.0
208031184,208031184,1.0
208031185,208031185,1.0
208031186,208031186,1.0
208031187,208031187,1.0
208031188,208031188,1.0
208031189,208031189,1.0
208031190,208031190,1.0
208031191,208031191,1.0
208031192,208031192,1.0
208031193,208031193,1.0
208041194,208041194,1.0
208041195,208041195,1.0
209011196,209011196,1.0
209011197,209011197,1.0
209011198,209011198,1.0
209011199,209011199,1.0
209011200,209011200,1.0
209011201,209011201,1.0
209011202,209011202,1.0
209011203,209011203,1.0
209011204,209011204,1.0
209021205,209021205,1.0
209021207,209021523,0.5307731
209021207,209021525,0.4692269
209021208,209021524,0.4109534
209021208,209021526,0.5890466
209021428,209021428,1.0
209021429,209021429,1.0
209031209,209031209,1.0
209031210,209031210,1.0
209031211,209031211,1.0
209031212,209031212,1.0
209031213,209031213,1.0
209031214,209031214,1.0
209031215,209031215,1.0
209041216,209041216,1.0
209041217,209041217,1.0
209041219,209041529,0.4408899
209041219,209041530,0.5591101
209041220,209041220,1.0
209041221,209041221,1.0
209041223,209041223,1.0
209041224,209041224,1.0
209041225,209041225,1.0
209041430,209041527,0.6707869
209041430,209041528,0.3292131
209041431,209041431,1.0
209041432,209041432,1.0
209041433,209041433,1.0
209041434,209041531,0.5118091
209041434,209041532,0.4881909
209041435,209041435,1.0
209041436,209041436,1.0
209041437,209041437,1.0
210011226,210011226,1.0
210011227,210011227,1.0
210011228,210011228,1.0
210011229,210011533,0.4437834
210011229,210011534,0.5562166
210011230,210011230,1.0
210011231,210011231,1.0
210021232,210021232,1.0
210021233,210021233,1.0
210021234,210021234,1.0
210021235,210021235,1.0
210031236,210031236,1.0
210031237,210031237,1.0
210031239,210031537,0.307104
210031239,210031538,0.692896
210031438,210031535,0.6373562
210031438,210031536,0.3626438
210031439,210031439,1.0
210031440,210031440,1.0
210041240,210041240,1.0
210041241,210041539,0.0886963
210041241,210041540,0.4898164
210041241,210041541,0.4214873
210051242,210051242,1.0
210051243,210051243,1.0
210051245,210051245,1.0
210051246,210051246,1.0
210051247,210051247,1.0
210051248,210051248,1.0
