sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
501031019,Manjimup,3315,3303,3286,3219,3222,45,46,46,46,46,171168241,170328653,166474121,166970055,170778212,42810,42528,43695,45599,45013,51634,51568,50662,51870,53004
501031020,Pemberton,2794,2945,2985,2944,3043,50,51,51,51,51,136660621,140989656,137193067,134033405,145718119,35671,33389,32997,31757,33877,48912,47874,45961,45528,47886
502011021,Dawesville - Bouvard,3908,4030,4185,4370,4522,46,46,46,47,47,261428548,258775134,275310007,287686016,311240276,46984,46998,48397,50000,51096,66896,64212,65785,65832,68828
502011022,Falcon - Wannanup,5018,5055,5230,5435,5499,47,48,48,48,48,318329896,310855783,324343701,340293713,364316655,45160,43446,44545,45745,48173,63438,61495,62016,62612,66251
502011023,Greenfields,4704,4574,4688,4633,4631,44,45,45,46,46,268102452,246164856,251580867,256251482,258983324,44225,42081,42266,43963,44108,56995,53818,53665,55310,55924
502011024,Halls Head - Erskine,10614,10740,10864,11041,11082,47,47,47,48,48,742307327,718814401,735768494,746186236,867250854,47601,46845,46850,48403,50322,69937,66929,67725,67583,78258
502011025,Mandurah,5068,4672,4741,4721,4784,47,47,47,47,47,292956885,256318707,258105038,265564485,269186090,43536,41216,41977,43142,42799,57805,54863,54441,56252,56268
502011026,Mandurah - East,3247,3340,3343,3466,3513,50,49,49,48,48,205656331,205787477,209328046,220325793,232152440,45687,45678,46113,48772,50291,63337,61613,62617,63568,66084
502011027,Mandurah - North,9826,10249,10606,11029,11450,41,41,41,41,41,678857741,695440830,724614139,765220714,805337080,54636,53550,55007,56627,57702,69088,67855,68321,69383,70335
502011028,Mandurah - South,4794,5029,5163,5267,5325,48,49,49,48,49,287974144,295680634,300846483,315337647,325083692,44757,43748,44005,45022,45012,60070,58795,58270,59870,61049
502011029,Pinjarra,4721,4902,5006,5060,5146,45,45,45,45,45,302796727,305409222,317051592,329153687,340452082,48294,47501,48046,50760,50983,64138,62303,63334,65050,66159
503011030,City Beach,4653,4801,4816,4750,4816,50,51,51,51,51,621062634,617785921,645670454,662467530,656953152,70004,68175,66762,70054,70010,133476,128679,134068,139467,136411
503011031,Claremont (WA),5402,5437,5489,5561,5717,49,50,50,50,50,610422000,616645168,625130544,657838738,663159483,62124,60732,60379,62700,61904,112999,113416,113888,118295,115998
503011032,Cottesloe,5437,5499,5544,5569,5570,47,48,49,49,49,748052726,1000389992,1181472503,1565441596,2108734227,73613,73087,74999,78318,77196,137586,181922,213108,281099,378588
503011033,Floreat,5234,5373,5535,5506,5612,47,47,47,48,48,604756497,611394180,640729893,658721225,688261907,68783,69401,69885,72626,75221,115544,113790,115760,119637,122641
503011034,Mosman Park - Peppermint Grove,6641,6796,6781,6707,6791,46,47,47,47,47,936985702,994005876,1089676816,1131498783,1129746271,65006,64115,65623,67569,66715,141091,146263,160696,168704,166359
503011035,Nedlands - Dalkeith - Crawley,11371,11417,11602,11528,11535,47,48,47,48,48,1557352409,1681454751,1573540581,1671344296,1645205342,63330,62491,60121,64205,62359,136958,147276,135627,144981,142627
503011036,Swanbourne - Mount Claremont,5594,5862,5950,6150,6256,49,48,48,48,48,652521437,688446049,755614250,765365535,792503007,64797,67188,67073,69689,71283,116647,117442,126994,124450,126679
503021037,Kings Park (WA),27,34,37,31,31,60,57,59,61,61,9246973,10167207,13188011,8582732,7804419,103118,134453,161893,126479,147857,342480,299035,356433,276862,251755
503021038,Mount Hawthorn - Leederville,6913,7142,7204,7255,7451,39,39,40,40,40,600752260,609125209,633064054,656456544,708448569,67486,67526,69515,70639,73069,86902,85288,87877,90483,95081
503021039,Mount Lawley - Inglewood,10848,10938,10962,10962,11131,40,41,41,41,41,971977248,915158690,971777163,998903772,1034009385,60869,57735,60502,62868,64356,89600,83668,88650,91124,92895
503021040,North Perth,5668,5944,6020,6170,6183,39,39,40,40,40,463488787,474152741,493266767,517002903,528921340,60381,58977,60787,62995,64865,81773,79770,81938,83793,85544
503021041,Perth City,25844,25624,25161,25326,26335,33,33,34,35,35,2085134736,1944276066,2000728216,2029352024,2129265967,54071,50982,54790,55601,56713,80682,75877,79517,80129,80853
503021042,Subiaco - Shenton Park,10905,11068,11130,11224,11365,45,44,44,44,45,1104523628,1080028701,1103359883,1148947125,1171507133,65027,63737,64450,67013,68261,101286,97581,99134,102365,103080
503021043,Wembley - West Leederville - Glendalough,11506,11705,12019,12219,12605,39,39,39,39,39,997015752,979388691,1009325838,1044907569,1102065849,58112,55023,55216,56413,58302,86652,83673,83978,85515,87431
504011044,Bassendean - Eden Hill - Ashfield,9107,8933,9064,9186,9254,41,42,42,42,42,593353189,570652273,596906330,612505759,639080454,54718,54191,55930,56512,58512,65154,63881,65855,66678,69060
504011045,Bayswater - Embleton - Bedford,14263,14338,14378,14636,14888,40,40,41,41,41,970402405,965201114,988213307,1027587914,1081630538,55655,55551,57585,58791,60592,68036,67318,68731,70210,72651
504011046,Maylands,8563,8201,8334,8424,8607,35,36,36,37,37,594545584,568553382,581292723,596276470,618576990,57772,56288,56555,58162,58697,69432,69327,69750,70783,71869
504011047,Morley,13304,13077,13158,13389,13481,40,40,41,40,40,725808253,691681039,708160669,740771438,768999099,46540,45503,46700,48189,49368,54556,52893,53820,55327,57043
504011048,Noranda,5111,4966,4940,4872,4875,47,47,47,47,47,304795763,287963816,292424587,296482086,302349719,47539,46275,46740,48030,49957,59635,57987,59195,60854,62020
504021049,Chidlow,1659,1677,1683,1726,1758,47,47,48,48,48,104307810,105375201,106159507,111128573,118576830,53042,52795,52855,54098,55419,62874,62836,63078,64385,67450
504021050,Glen Forrest - Darlington,4392,4440,4487,4544,4613,48,48,48,48,49,324615431,326918056,330559118,344512848,367535787,52561,53340,53415,55002,57213,73911,73630,73670,75817,79674
504021051,Helena Valley - Koongamia,3302,3350,3351,3412,3422,44,44,44,44,44,222478019,222836132,222848175,230507634,240663336,54235,53700,54133,54230,56989,67377,66518,66502,67558,70328
504021052,Malmalling - Reservoir,np,3,5,4,3,np,69,71,65,66,np,33065,-8864,220051,205526,np,2305,1260,25508,43403,np,11022,-1773,55013,68509
504021053,Mundaring,8012,8042,8140,8158,8191,47,48,48,48,48,530026750,518426614,533013740,549570659,567125405,51000,50516,51191,52982,55669,66154,64465,65481,67366,69238
504021054,Swan View - Greenmount - Midvale,6811,6752,6936,7084,7118,44,45,45,44,44,401772868,389659507,408621358,423887857,439704515,49376,49258,50144,51657,53123,58989,57710,58913,59837,61774
504031055,Avon Valley National Park,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
504031056,Ballajura,10871,10702,10834,10786,10839,43,43,43,43,43,618051077,587186206,594180173,605992923,617578662,49381,47654,47588,49290,50015,56853,54867,54844,56183,56977
504031057,Beechboro,9959,10147,10472,10927,11365,39,39,39,38,39,560466818,561851048,587698069,645205547,673314240,49457,49189,49635,51187,52273,56277,55371,56121,59047,59245
504031058,Bullsbrook,3059,3093,3156,3267,3274,44,44,44,44,44,190857148,191116792,198307767,210619902,217495293,50858,49852,50722,53286,55289,62392,61790,62835,64469,66431
