postcode,sa2_maincode_2016
2354,110011189
2354,110011188
2355,110041205
2356,110031198
2357,105031099
2358,110011188
2359,110011188
2359,110021193
2360,110021193
2360,110021192
2360,110021191
2361,110021192
2365,110011187
2365,110021192
2365,110021190
2369,110021192
2370,110021190
2370,110021192
2370,110011187
2370,104011081
2371,110021190
2371,110021192
2371,110021194
2372,110021194
2379,105031099
2379,110041200
2380,110041200
2380,110041199
2381,110041200
2381,105031099
2382,110041200
2382,110031198
2386,105011096
2386,110031198
2387,110031198
2387,105011096
2388,110031198
2390,110031198
2390,110021193
2390,110031196
2390,110031197
2395,105031099
2396,105031099
2397,110031198
2398,110031196
2399,110031196
2399,115011553
2400,110031196
2400,110031195
2401,110021193
2402,110021193
2403,110021193
2404,110021193
2405,110031196
2406,307011171
2408,110021193
2408,110031196
2409,110031196
2410,110021192
2411,110031196
2415,108011151
2420,106011110
2421,106011110
2421,110021193
2422,108051167
2422,108051170
2422,108011151
2423,108011151
2423,108011153
2423,108051170
2424,108051170
2424,108051167
2424,110021194
2425,108011151
2426,108051170
2427,108051170
2428,108011153
2428,108011152
2428,108011154
2429,108051170
2429,108041165
2429,108051171
2430,108051168
2430,108051170
2430,108051169
2430,108011153
2430,403041080
2431,108021160
2439,108041162
2440,108021155
2440,108021156
2440,110011187
2441,108021159
2441,108041165
2441,108021156
2441,104021089
2441,104021083
2442,108021155
2442,108041163
2443,108041162
2443,108051170
2444,108041165
2444,108041164
2444,108041163
2445,108041162
2446,108041165
2446,108041166
2447,108021159
2447,108021157
2448,108021158
2448,108021159
2449,108021159
2449,104021083
2450,104021089
2450,104021087
2450,104021086
2450,104021085
2450,104021084
2450,104011081
2450,104021088
2452,104021089
2453,104021087
2453,110011187
2453,112011237
2453,104021083
2454,104021083
2454,104021089
2454,104021090
2455,104021083
2455,104021090
2456,104021091
2456,104021088
2460,104011080
2460,104011081
2460,104021091
2462,104011081
2463,104011081
2463,104011082
2464,104011082
2465,104011082
2466,104011082
2469,104011081
2469,112021245
2469,110021194
2469,112011241
2469,104011082
2470,104011081
2470,112021247
2470,112021245
2470,112021244
2471,112021245
2471,112021249
2471,112011241
2472,112021249
2472,112011241
2473,112011241
2474,112021247
2475,110021194
2475,112021245
2476,110021194
2476,112021247
2477,112011237
2478,112011236
2478,112011237
2478,112011242
2479,112011238
2479,112011237
2480,112021247
2480,112021249
2480,112021246
2480,112021245
2480,112021248
2480,112011238
2480,103041076
2480,112011243
2481,112011240
2481,112011238
2481,112011243
2481,112011239
2482,112011243
2483,112011243
2483,112011239
2483,112031253
2484,112031252
2484,106031119
2484,112031251
2484,112031253
2484,112031254
2485,112031254
2486,112031550
2486,112031254
2486,112031551
2486,112031552
2487,112031250
2487,112031253
2487,112031252
2488,112031253
2489,112031253
2490,112031551
2490,112031252
2500,107041549
2500,107041146
2500,107041548
2500,107011133
2502,107011545
2502,107011547
2502,107011546
2505,107011546
2505,107011133
2506,107011545
2508,107041148
2508,107041147
2515,107041148
2516,107041150
2516,107041148
2517,107041150
2518,107041145
2518,107041144
2519,107041144
2520,107041548
2522,107041146
2525,107041146
2526,107011134
2526,107011132
2527,107031136
2527,107031137
2527,107031141
2528,107031143
2528,107031141
2528,107011547
2529,107031142
2529,107031141
2530,107011131
2530,107011132
2533,107031139
2533,107031140
2533,107031138
2534,107031140
2535,114011272
2535,107031140
2536,101041018
2536,101041017
2536,101041024
2537,101041026
2537,101041021
2537,101041022
2537,101041024
2538,114011283
2538,114011282
2538,114011275
2539,114011283
2539,114011282
2539,101041024
2539,114011275
2540,114011281
2540,114011279
2540,114011273
2540,114011280
2540,114011277
2540,114011275
2540,114011272
2540,114011278
2540,114011274
2540,901031003
